ID,Front,Back
62,Quy tắc giới hạn hàm: lim f/g =,$lim f / lim g (lim g ≠ 0)$
63,Định nghĩa hàm liên tục tại $x_0$,$lim_{x→x_0} f(x) = f(x_0)$
64,"Hàm đa thức, sin x, cos x liên tục trên",$\mathbb{R}$
65,"Hàm tan x, cot x, phân thức hữu tỷ liên tục trên",Tập xác định
66,Tính chất lũy thừa: $a^{x+y}$ =,$a^x a^y$
67,Tính chất lũy thừa: $a^{x-y}$ =,$a^x / a^y$
68,Tính chất lũy thừa: $(a b)^x$ =,$a^x b^x$
69,Tính chất lũy thừa: $a^{x y}$ =,$(a^x)^y$
70,Định nghĩa $log_a M$,"$\alpha$ sao cho $a^\alpha = M (a > 0, a ≠ 1, M > 0)$"
71,$log_a 1$ =,0
72,$log_a a$ =,1
73,$log_a (M N)$ =,$log_a M + log_a N$
74,$log_a (M/N)$ =,$log_a M - log_a N$
75,$log_a M^\alpha$ =,$\alpha log_a M$
76,Công thức đổi cơ số: $log_a M$ =,$log_b M / log_b a$
77,$log_a b$ =,$1 / log_b a$
78,Lôgarit thập phân log M = ,$log_{10} M$
79,Số e ≈,"2,718281828..."
80,Lôgarit tự nhiên,ln M = log_e M
81,"Tập xác định y = $a^x$ (a > 0, a ≠ 1)",$\mathbb{R}$
82,Tập giá trị y = $a^x$,(0;  +∞)
83,y = $a^x$ đồng biến khi,a > 1
84,y = $a^x$ nghịch biến khi,0 < a < 1
85,Đồ thị y = $a^x$ đi qua các điểm,(0;1) và (1;a)
86,Tập xác định y = $log_a x$,(0; +∞)
87,Tập giá trị y = $log_a x$,$\mathbb{R}$
88,y = $log_a x$ đồng biến khi,a > 1
89,y = $log_a x$ nghịch biến khi,0 < a < 1
90,Đồ thị y = $log_a x$ đi qua các điểm,(1;0) và (a;1)
91,Phương trình mũ $a^{f(x)}$ = b (b > 0),$f(x) = log_a b$
92,Phương trình mũ $a^{f(x)} = a^{g(x)}$,f(x) = g(x)
93,Phương trình lôgarit $log_a f(x)$ = b,$f(x) = a^b$
94,Phương trình lôgarit $log_a f(x) = log_a g(x)$,f(x) = g(x) và f(x) > 0
95,Bất phương trình mũ $a^{f(x)} > a^{g(x)}$ (a > 1),f(x) > g(x)
96,Bất phương trình mũ $a^{f(x)} > a^{g(x)}$ (0 < a < 1),f(x) < g(x)
97,Bất phương trình lôgarit $log_a f(x)$ > b (a > 1),$f(x) > a^b$
98,Bất phương trình lôgarit $log_a f(x)$ > b (0 < a < 1),$0 < f(x) < a^b$
99,Dấu hiệu 1 hai đường thẳng song song,Đồng phẳng và không chung điểm
100,Dấu hiệu 3 hai đường thẳng song song,Cùng song song với đường thẳng thứ ba
